,num,summary
0,001.txt,"British hurdler Sarah Claxton is confident she can win her first major medal at next month's European Indoor Championships in Madrid.
""As long as I keep up my training but not do too much I think there is a chance of a medal."" Claxton has won the national 60m hurdles title for the past three years but has struggled to translate her domestic success to the international stage."
0,002.txt,O'Sullivan will also take part in the Bupa Great Ireland Run on 9 April in Dublin.
0,003.txt,"Maurice Greene aims to wipe out the pain of losing his Olympic 100m title in Athens by winning a fourth World Championship crown this summer.
My goal - I'm going to win the worlds."" Greene crossed the line just 0.02 seconds behind Gatlin, who won in 9.87 seconds in one of the closest and fastest sprints of all time.
But Greene believes he lost the race and his title in the semi-finals.
""I believe if I was in the middle of the race I would have been able to react to people that came ahead of me."" Greene was also denied Olympic gold in the 4x100m men's relay when he could not catch Britain's Mark Lewis-Francis on the final leg."
0,004.txt,"""I am very happy to see you all, members of the athletics family, respond positively to the IAAF call to sit together and discuss what more we can do in the fight against doping,"" said Diack."
0,005.txt,"Ethiopia's Tirunesh Dibaba set a new world record in winning the women's 5,000m at the Boston Indoor Games.
Ireland's Alistair Cragg won in 7:39.89 as Bekele battled to second in 7:41.42."
0,006.txt,"In the men's 60m, former Olympic 100m champion Maurice Greene could only finish second to Leonard Scott."
0,007.txt,O'Sullivan commits to Dublin race
0,008.txt,"Her coach Aston Moore told the Times: ""We're not looking at any sooner than 2006, not as a triple jumper."" Moore said Hansen may be able to return to sprinting and long jumping sooner, but there is no short-term prospect of her being involved again in her specialist event."
0,009.txt,"Britain's Jason Gardener shook off an upset stomach to win the 60m at Sunday's Leipzig International meeting.
Gardener clocked 6.56 seconds to equal the meeting record and finished well ahead of Germany's Marc Blume, who crossed the line in 6.67 secs.
Then everything went perfectly."" Gardener, part of the Great Britain 4x100m quartet that won gold at the Athens Olympics, will now turn his attention to next weekend's Norwich Union European Indoor trials in Sheffield.
, who broke onto the international scene at the Olympic Games last season, set an indoor personal best of 16.50m in the triple jump at a meeting in Ghent."
0,010.txt,"""Jason Gardener and Mark Lewis-Francis are Olympic gold medallists now and I'm sure they'll be aiming to win in front of their home supporters.
""I'm looking forward to competing against Britain's best sprinters and I'm sure the 60 metres will be one of the most exciting races of the evening."" Collins was sixth in the Olympic final in Athens but is hoping for a better result at the World Championships in Finland this summer."
0,011.txt,"""It would be fantastic to have Paula in the team,"" said the European cross-country champion.
We all understand the problem."" Radcliffe was world cross-country champion in 2001 and 2002 but missed last year's event because of injury."
0,012.txt,"World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.
""It's all down to him, but if he jumps as well as he did in Sheffield he could win the gold medal,"" said Edwards."
0,013.txt,"Kenya's athletics body has reversed a ban on marathon runner Susan Chepkemei after she made an official apology.
Athletics Kenya (AK) had suspended the two-time London Marathon runner-up for failing to turn up to a cross-country team training camp in Embu.
""I will be disappointed if I am not given a chance to compete at the world cross country championships."" AK had insisted it was making an example of Chepkemei by banning her from competition until the end of 2005."
0,014.txt,"Northern Ireland man James McIlroy is confident he can win his first major title at this weekend's Spar European Indoor Championships in Madrid.
Lester is better known for his work with 400m runners Roger Black and Mark Richardson in the past but under his guidance McIlroy has secured five wins this indoor season.
""That was my last decent year,"" said McIlroy, who temporarily retired last August before returning to the sport under Lester's shrewd guidance.
Russian Dmitriy Bogdanov won at the same Madrid venue last week and then claimed the European Championship race would be between himself, Dutchman Arnoud Okken and Antonio Reina of Spain but McIlroy is unfazed."
0,015.txt,"We are delighted."" Moorcroft added: ""It is hugely beneficial to the sport that the adidas commitment will also provide for officials and other personnel at our world-class series of live televised events."" This week, UK Athletics also agreed a four-year deal with energy drink company, Red Bull, who will be supplying the product to athletics at major domestic meetings and in high performance centres."
0,016.txt,"Greek athletics' governing body has postponed by two weeks the judgement on sprinters Costas Kenteris and Katerina Thanou for missing doping tests.
The IAAF said the sprinters had failed to provide samples for tests in Tel Aviv, Chicago and Athens and ordered Greek athletic's governing body, Segas, to hold a disciplinary inquiry."
